Slug,Title,Logo,Main Image,Short Description,Project URL,Content,Sort Order,Categories
the-hostdesk,"The HostDesk, Multilingual Platform",/projects/the-hostdesk.png?height=400&width=600,/projects/the-hostdesk.png?height=400&width=600,"Main frontend platform (Next.js, multilingual, AI tools, integrations).",https://thehostdesk.com/en,"<h3>Overview</h3><p>The HostDesk is a multilingual platform built with Next.js, combining AI tooling and third-party integrations for hospitality and operations teams.</p>",2025-12-01,"Next.js|Multilingual|AI|Integrations|web"
csr-dashboard,"CSR Dashboard, Enterprise System",/projects/portal-dashboard.png?height=400&width=600,/projects/portal-dashboard.png?height=400&width=600,"Enterprise system with ticketing, chat, and real-time workflows.",https://portal.thehostdesk.com/signin,"<h3>Overview</h3><p>CSR-facing enterprise dashboard with ticketing, internal chat, and real-time workflows for support and operations.</p>",2025-11-15,"Enterprise|Real-time|Dashboard|web"
xmg-real-estate,"XMG Real Estate, xmgca.com",/projects/xmgcawebsite.png?height=400&width=600,/projects/xmgcawebsite.png?height=400&width=600,"Business website for real estate services and lead generation.",https://xmgca.com/en,"<h3>Overview</h3><p>XMG provides real estate management, financing, and rental services—multilingual corporate site with mission-driven content and a modern presence.</p>",2025-11-01,"Real Estate|Next.js|Internationalization|Corporate|Marketing|web"
travelhere,"TravelHere, travelhere.co",/projects/travelhere.png?height=400&width=600,/projects/travelhere.png?height=400&width=600,"Marketing and product platform (React SPA, animations, CI/CD).",https://travelhere.co/,"<h3>Overview</h3><p>TravelHere is a React SPA with rich animations and a CI/CD-backed release workflow for marketing and product storytelling.</p>",2025-10-20,"React|SPA|Animations|DevOps|web"
shopify-integration,Shopify Integration,/projects/shopifyorder.png?height=400&width=600,/projects/shopifyorder.png?height=400&width=600,"Integrated Shopify e-commerce data into a centralized dashboard.",https://portal.superhostdepot.com/signin,"<h3>Overview</h3><p>A one-stop dashboard for managing Shopify orders and store data. A storefront integration directly connected to the admin dashboard.</p>",2024-02-20,"Shopify|Liquid|JavaScript|E-commerce Dashboard|web"
hubspot-integration,HubSpot Integration,/projects/hubspot-integration.png?height=400&width=600,/projects/hubspot-integration.png?height=400&width=600,"CRM contact form integration to capture leads directly into HubSpot.",https://superhostdepot.com/en/contact-us,"<h3>Overview</h3><p>Custom HubSpot integration where user form submissions sync directly to HubSpot CRM. Enables lead capture and workflow efficiency.</p>",2024-02-10,"HubSpot|API Integration|CRM|Automation|web"
clickup-integration,ClickUp Task Integration,/projects/clickuptabform.png?height=400&width=600,/projects/clickuptabform.png?height=400&width=600,"Seamless ClickUp integration for centralized task and project tracking.",https://portal.superhostdepot.com/signin,"<h3>Overview</h3><p>Integrated ClickUp task management directly into the dashboard. Features include syncing task data, project status updates, and productivity workflows to provide a single hub for property and project management.</p>",2024-01-20,"ClickUp|API Integration|Project Management|Productivity|web"
